-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       c10d::allreduce_         1.18%      69.515ms         1.60%      93.873ms     118.527us     867.462ms        80.83%     867.462ms       1.095ms           792  
oneccl_allreduce_pcie<sycl::_V1::detail::half_impl::...         0.00%       0.000us         0.00%       0.000us       0.000us     867.462ms        80.83%     867.462ms       1.095ms           792  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     171.035ms        15.94%     171.035ms      91.658us          1866  
                                 _xpu_C::fp8_gemm_w8a16         0.63%      36.867ms         1.28%      75.153ms      48.175us     141.766ms        13.21%     141.766ms      90.876us          1560  
                                               aten::mm         0.28%      16.412ms         0.41%      23.927ms      78.194us      29.268ms         2.73%      29.268ms      95.648us           306  
                                  _xpu_C::gdn_attention         0.14%       8.312ms         0.71%      41.763ms     145.009us      14.284ms         1.33%      14.722ms      51.118us           288  
                                 c10d::_allgather_base_         0.02%       1.312ms         0.03%       1.891ms     105.056us       6.352ms         0.59%       6.352ms     352.916us            18  
oneccl_allgatherv_pcie<sycl::_V1::detail::half_impl:...         0.00%       0.000us         0.00%       0.000us       0.000us       6.352ms         0.59%       6.352ms     352.916us            18  
       gdn::ChunkComputeAKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us       5.486ms         0.51%       5.486ms     114.288us            48  
      gdn::ChunkComputeWUKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us       3.800ms         0.35%       3.800ms      79.175us            48  
                                            aten::copy_         0.37%      21.732ms         1.33%      78.153ms      44.204us       1.938ms         0.18%       1.948ms       1.102us          1768  
triton_red_fused__to_copy_add_fp8_gemm_w8a16_fused_a...         0.01%     781.623us         0.17%      10.231ms      55.005us       1.766ms         0.16%       1.766ms       9.495us           186  
triton_red_fused__to_copy_add_fp8_gemm_w8a16_fused_a...         0.00%       0.000us         0.00%       0.000us       0.000us       1.766ms         0.16%       1.766ms       9.495us           186  
gdn::gated_delta_rule_spec_kernel<sycl::_V1::detail:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.656ms         0.15%       1.656ms       6.898us           240  
