-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     423.161ms        59.87%     423.161ms     173.426us          2440  
                                       _xpu_C::fp8_gemm         5.27%      44.345ms        12.06%     101.506ms      49.563us     342.945ms        48.52%     342.945ms     167.454us          2048  
gdn::gated_delta_rule_kernel<sycl::_V1::detail::half...         0.00%       0.000us         0.00%       0.000us       0.000us     120.474ms        17.04%     120.474ms     358.554us           336  
                                  _xpu_C::gdn_attention         1.09%       9.209ms         6.02%      50.665ms     131.939us     112.495ms        15.91%     112.495ms     292.957us           384  
oneccl_allreduce_pcie<sycl::_V1::detail::half_impl::...         0.00%       0.000us         0.00%       0.000us       0.000us      55.163ms         7.80%      55.163ms      53.453us          1032  
                                       c10d::allreduce_         8.83%      74.304ms        12.23%     102.931ms      99.740us      37.992ms         5.37%      37.992ms      36.814us          1032  
           gdn::ChunkFwdOKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      30.476ms         4.31%      30.476ms     634.908us            48  
                                               aten::mm         2.18%      18.313ms         3.26%      27.442ms      70.006us      23.545ms         3.33%      23.545ms      60.065us           392  
      gdn::ChunkComputeWUKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      12.476ms         1.76%      12.476ms     259.915us            48  
vllm::per_token_group_quant_8bit_vec_kernel<c10::Hal...         0.00%       0.000us         0.00%       0.000us       0.000us      10.018ms         1.42%      10.018ms       4.892us          2048  
                          _C::per_token_group_fp8_quant         1.21%      10.206ms         6.38%      53.745ms      26.243us       8.414ms         1.19%       8.414ms       4.108us          2048  
       gdn::ChunkComputeAKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us       7.190ms         1.02%       7.190ms     149.798us            48  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       6.912ms         0.98%       6.912ms      24.000us           288  
gdn::causal_conv1d_kernel<sycl::_V1::detail::half_im...         0.00%       0.000us         0.00%       0.000us       0.000us       5.537ms         0.78%       5.537ms      16.479us           336  
