-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     512.641ms        57.09%     512.641ms     210.099us          2440  
                                       _xpu_C::fp8_gemm         4.57%      43.787ms        10.43%     100.028ms      48.842us     426.599ms        47.50%     426.599ms     208.300us          2048  
                                  _xpu_C::gdn_attention         1.21%      11.652ms         8.90%      85.342ms     222.246us     225.783ms        25.14%     245.747ms     639.967us           384  
           gdn::ChunkFwdOKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      87.876ms         9.79%      87.876ms     610.247us           144  
gdn::gated_delta_rule_kernel<sycl::_V1::detail::half...         0.00%       0.000us         0.00%       0.000us       0.000us      85.869ms         9.56%      85.869ms     357.788us           240  
oneccl_allreduce_pcie<sycl::_V1::detail::half_impl::...         0.00%       0.000us         0.00%       0.000us       0.000us      67.582ms         7.53%      67.582ms      65.486us          1032  
                                       c10d::allreduce_         6.15%      58.958ms         9.17%      87.955ms      85.228us      62.302ms         6.94%      62.302ms      60.370us          1032  
      gdn::ChunkComputeWUKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      33.830ms         3.77%      33.830ms     234.932us           144  
                                               aten::mm         1.99%      19.074ms         2.97%      28.448ms      72.572us      22.355ms         2.49%      22.355ms      57.027us           392  
       gdn::ChunkComputeAKernel<cutlass::half_t, float>         0.00%       0.000us         0.00%       0.000us       0.000us      21.503ms         2.39%      21.503ms     149.328us           144  
                                            aten::fill_         0.64%       6.105ms         3.46%      33.150ms       6.162us      19.983ms         2.23%      19.983ms       3.714us          5380  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      19.702ms         2.19%      19.702ms      22.804us           864  
vllm::per_token_group_quant_8bit_vec_kernel<c10::Hal...         0.00%       0.000us         0.00%       0.000us       0.000us      12.746ms         1.42%      12.746ms       6.223us          2048  
                          _C::per_token_group_fp8_quant         1.03%       9.886ms         5.60%      53.725ms      26.233us      11.312ms         1.26%      11.312ms       5.524us          2048  
