
WARNING: Elevated privileges required for the following metrics:
  - Metric 0 (GPU_UTILIZATION) - will display as N/A
  - Metric 3 (GPU_CORE_TEMPERATURE) - will display as N/A
  - Metric 17 (MEMORY_BANDWIDTH) - will display as N/A
  - Metric 22 (COMPUTE_ENGINE_UTILIZATION) - will display as N/A
  - Metric 26 (COPY_ENGINE_UTILIZATION) - will display as N/A
  - Metric 31 (COMPUTE_ENGINE_GROUP_UTILIZATION) - will display as N/A

These metrics require access to MEI devices for GPU telemetry.
Please run with elevated privileges (sudo) to collect these metrics.

Timestamp, DeviceId, Average % utilization of all GPU Engines, GPU Power (W), GPU Frequency (MHz), GPU Core Temperature (Celsius Degree), GPU Memory Utilization (%), GPU Memory Bandwidth Utilization (%), GPU Memory Used (MiB), PCIe Read (kB/s), PCIe Write (kB/s), Compute Engine (%), Copy Engine (%), Compute engine group utilization (%), Throttle reason
20:58:39.409,    0,  N/A, 1.49,  400,  N/A, 99.98,  N/A, 32651.32,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:39.409,    1,  N/A, 3.47,  400,  N/A, 99.98,  N/A, 32650.49,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:39.409,    2,  N/A, 0.00,  517,  N/A, 99.98,  N/A, 32650.48,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:39.409,    3,  N/A, 46.69,  517,  N/A, 99.98,  N/A, 32650.37,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:40.409,    0,  N/A, 15.26,  400,  N/A, 99.99,  N/A, 32655.91,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:40.409,    1,  N/A, 13.90,  517,  N/A, 99.99,  N/A, 32655.91,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:40.409,    2,  N/A, 14.09,  517,  N/A, 99.99,  N/A, 32655.89,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:40.409,    3,  N/A, 16.71,  400,  N/A, 99.99,  N/A, 32655.78,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:41.409,    0,  N/A, 3.54,  517,  N/A, 99.99,  N/A, 32655.91,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:41.409,    1,  N/A, 1.53,  517,  N/A, 99.99,  N/A, 32655.91,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:41.409,    2,  N/A, 4.60,  517,  N/A, 99.99,  N/A, 32655.89,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:41.409,    3,  N/A, 6.53,  517,  N/A, 99.99,  N/A, 32655.78,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:42.409,    0,  N/A, 101.76, 2800,  N/A, 99.99,  N/A, 32655.92,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:42.409,    1,  N/A, 99.35, 2800,  N/A, 99.99,  N/A, 32655.30,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:42.409,    2,  N/A, 89.48, 2800,  N/A, 99.99,  N/A, 32655.27,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:42.409,    3,  N/A, 92.73, 2800,  N/A, 99.99,  N/A, 32655.16,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:43.409,    0,  N/A, 111.83, 2800,  N/A, 99.99,  N/A, 32655.92,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:43.409,    1,  N/A, 113.68, 2800,  N/A, 99.99,  N/A, 32655.30,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:43.409,    2,  N/A, 110.62, 2800,  N/A, 99.99,  N/A, 32655.27,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:43.409,    3,  N/A, 115.04, 2800,  N/A, 99.99,  N/A, 32655.16,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:44.409,    0,  N/A, 111.20, 2800,  N/A, 99.99,  N/A, 32655.73,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:44.409,    1,  N/A, 113.58, 2800,  N/A, 99.99,  N/A, 32655.92,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:44.409,    2,  N/A, 110.51, 2800,  N/A, 99.99,  N/A, 32655.90,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:44.409,    3,  N/A, 114.74, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:45.409,    0,  N/A, 111.15, 2800,  N/A, 99.99,  N/A, 32655.73,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:45.409,    1,  N/A, 113.01, 2800,  N/A, 99.99,  N/A, 32655.92,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:45.409,    2,  N/A, 110.47, 2800,  N/A, 99.99,  N/A, 32655.90,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:45.409,    3,  N/A, 114.51, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:46.409,    0,  N/A, 111.29, 2800,  N/A, 99.99,  N/A, 32655.29,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:46.409,    1,  N/A, 113.09, 2800,  N/A, 99.99,  N/A, 32655.55,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:46.409,    2,  N/A, 110.82, 2800,  N/A, 99.99,  N/A, 32655.52,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:46.409,    3,  N/A, 114.70, 2800,  N/A, 99.99,  N/A, 32655.41,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:47.409,    0,  N/A, 111.45, 2800,  N/A, 99.99,  N/A, 32655.29,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:47.409,    1,  N/A, 113.24, 2800,  N/A, 99.99,  N/A, 32655.55,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:47.409,    2,  N/A, 111.20, 2800,  N/A, 99.99,  N/A, 32655.52,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:47.409,    3,  N/A, 114.79, 2800,  N/A, 99.99,  N/A, 32655.41,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:48.409,    0,  N/A, 117.29, 2800,  N/A, 99.99,  N/A, 32655.29,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:48.409,    1,  N/A, 121.82, 2800,  N/A, 99.99,  N/A, 32655.55,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:48.409,    2,  N/A, 118.91, 2800,  N/A, 99.99,  N/A, 32655.52,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:48.409,    3,  N/A, 122.39, 2800,  N/A, 99.99,  N/A, 32655.41,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:49.409,    0,  N/A, 112.33, 2800,  N/A, 99.99,  N/A, 32655.29,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:49.409,    1,  N/A, 113.83, 2800,  N/A, 99.99,  N/A, 32655.55,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:49.409,    2,  N/A, 111.62, 2800,  N/A, 99.99,  N/A, 32655.52,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:49.409,    3,  N/A, 115.21, 2800,  N/A, 99.99,  N/A, 32655.41,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:50.409,    0,  N/A, 111.49, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:50.409,    1,  N/A, 113.36, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:50.409,    2,  N/A, 111.00, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:50.409,    3,  N/A, 115.83, 2800,  N/A, 99.99,  N/A, 32655.85,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:51.409,    0,  N/A, 112.19, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:51.409,    1,  N/A, 114.01, 2800,  N/A, 99.99,  N/A, 32655.98,    0,    0,  N/A,  N/A,  N/A, Not Throttled
20:58:51.409,    2,  N/A, 111.36, 2800,  N/A, 99.99,  N/A, 32655.96,    0,    0,  N/A,  N/A,  N/A, Not Throttled
